repo	timestamp	count_clones	uniques_clones	count_views	uniques_views
ottrproject/metricminer	2025-02-20	1	1	6	3
ottrproject/metricminer	2025-02-17	NA	NA	15	3
ottrproject/metricminer-dashboard	2025-02-16	23	10	NA	NA
ottrproject/metricminer-dashboard	2025-02-18	2	2	2	1
ottrproject/metricminer-dashboard	2025-02-19	11	6	8	1
ottrproject/metricminer-dashboard	2025-02-20	NA	NA	24	2
ottrproject/OTTR_Template	2025-02-06	1	1	NA	NA
ottrproject/OTTR_Template	2025-02-17	1	1	NA	NA
ottrproject/OTTR_Template	2025-02-19	2	2	10	2
ottrproject/OTTR_Template	2025-02-16	NA	NA	1	1
ottrproject/OTTR_Template	2025-02-18	NA	NA	13	1
ottrproject/OTTR_Template_Website	2025-02-19	1	1	2	1
ottrproject/metricminer	2025-02-20	7	3	11	3
ottrproject/metricminer	2025-02-21	NA	NA	5	2
ottrproject/metricminer	2025-02-22	NA	NA	1	1
ottrproject/metricminer-dashboard	2025-02-20	21	12	33	2
ottrproject/OTTR_Template	2025-02-21	4	4	4	3
ottrproject/metricminer	2025-02-24	1	1	1	1
ottrproject/metricminer	2025-02-23	NA	NA	1	1
ottrproject/metricminer	2025-02-25	NA	NA	1	1
ottrproject/metricminer	2025-02-28	NA	NA	1	1
ottrproject/metricminer-dashboard	2025-02-23	17	9	NA	NA
ottrproject/metricminer-dashboard	2025-02-26	19	6	42	2
ottrproject/metricminer-dashboard	2025-02-27	1	1	1	1
ottrproject/OTTR_Template	2025-02-23	2	2	1	1
ottrproject/OTTR_Template	2025-02-25	2	2	10	7
ottrproject/OTTR_Template	2025-02-27	1	1	NA	NA
ottrproject/OTTR_Template	2025-03-01	3	2	1	1
ottrproject/OTTR_Template	2025-02-24	NA	NA	4	4
ottrproject/OTTR_Template	2025-02-26	NA	NA	7	2
ottrproject/OTTR_Template	2025-02-28	NA	NA	6	3
ottrproject/OTTR_Template_Website	2025-02-23	1	1	NA	NA
ottrproject/OTTR_Template_Website	2025-02-27	1	1	NA	NA
ottrproject/OTTR_Template_Website	2025-03-01	2	1	NA	NA
ottrproject/OTTR_Template_Website	2025-02-24	NA	NA	3	2
ottrproject/OTTR_Template_Website	2025-02-25	NA	NA	1	1
ottrproject/metricminer	2025-03-08	1	1	NA	NA
ottrproject/metricminer	2025-03-03	NA	NA	1	1
ottrproject/metricminer	2025-03-05	NA	NA	2	2
ottrproject/metricminer-dashboard	2025-02-23	1	1	NA	NA
ottrproject/metricminer-dashboard	2025-03-02	15	8	NA	NA
ottrproject/metricminer-dashboard	2025-03-03	1	1	NA	NA
ottrproject/metricminer-dashboard	2025-03-07	2	2	NA	NA
ottrproject/OTTR_Template	2025-03-03	1	1	NA	NA
ottrproject/OTTR_Template	2025-03-04	4	3	11	3
ottrproject/OTTR_Template	2025-03-05	6	3	22	3
ottrproject/OTTR_Template	2025-03-06	2	2	4	4
ottrproject/OTTR_Template	2025-03-07	1	1	NA	NA
ottrproject/OTTR_Template	2025-03-08	3	3	2	2
ottrproject/OTTR_Template	2025-03-02	NA	NA	1	1
ottrproject/OTTR_Template_Website	2025-03-05	1	1	2	1
ottrproject/OTTR_Template_Website	2025-03-04	NA	NA	2	2
ottrproject/OTTR_Template_Website	2025-03-06	NA	NA	1	1
